hotel_name,rating,count
Marriott&#39;s Custom House,Excellent,506
Marriott&#39;s Custom House,Very good,175
Marriott&#39;s Custom House,Average,13
Marriott&#39;s Custom House,Poor,13
Marriott&#39;s Custom House,Terrible,12
Boston Harbor Hotel,Excellent,"1,276"
Boston Harbor Hotel,Very good,228
Boston Harbor Hotel,Average,55
Boston Harbor Hotel,Poor,20
Boston Harbor Hotel,Terrible,15
Seaport Boston Hotel,Excellent,"3,077"
Seaport Boston Hotel,Very good,731
Seaport Boston Hotel,Average,130
Seaport Boston Hotel,Poor,50
Seaport Boston Hotel,Terrible,37
Four Seasons Hotel Boston,Excellent,"1,131"
Four Seasons Hotel Boston,Very good,197
Four Seasons Hotel Boston,Average,53
Four Seasons Hotel Boston,Poor,27
Four Seasons Hotel Boston,Terrible,16
Lenox Hotel,Excellent,"2,181"
Lenox Hotel,Very good,549
Lenox Hotel,Average,120
Lenox Hotel,Poor,45
Lenox Hotel,Terrible,20
Hotel Commonwealth,Excellent,"3,096"
Hotel Commonwealth,Very good,573
Hotel Commonwealth,Average,126
Hotel Commonwealth,Poor,50
Hotel Commonwealth,Terrible,22
Courtyard by Marriott Boston Copley Square,Excellent,"1,055"
Courtyard by Marriott Boston Copley Square,Very good,373
Courtyard by Marriott Boston Copley Square,Average,61
Courtyard by Marriott Boston Copley Square,Poor,16
Courtyard by Marriott Boston Copley Square,Terrible,15
InterContinental Boston,Excellent,"2,105"
InterContinental Boston,Very good,708
InterContinental Boston,Average,172
InterContinental Boston,Poor,69
InterContinental Boston,Terrible,61
"Mandarin Oriental, Boston",Excellent,432
"Mandarin Oriental, Boston",Very good,82
"Mandarin Oriental, Boston",Average,34
"Mandarin Oriental, Boston",Poor,9
"Mandarin Oriental, Boston",Terrible,8
Residence Inn Boston Back Bay  Fenway,Excellent,886
Residence Inn Boston Back Bay  Fenway,Very good,286
Residence Inn Boston Back Bay  Fenway,Average,54
Residence Inn Boston Back Bay  Fenway,Poor,15
Residence Inn Boston Back Bay  Fenway,Terrible,7
XV Beacon,Excellent,758
XV Beacon,Very good,169
XV Beacon,Average,36
XV Beacon,Poor,30
XV Beacon,Terrible,14
Eliot Hotel,Excellent,668
Eliot Hotel,Very good,249
Eliot Hotel,Average,71
Eliot Hotel,Poor,36
Eliot Hotel,Terrible,24
Residence Inn Boston Downtown Seaport,Excellent,278
Residence Inn Boston Downtown Seaport,Very good,99
Residence Inn Boston Downtown Seaport,Average,13
Residence Inn Boston Downtown Seaport,Poor,9
Residence Inn Boston Downtown Seaport,Terrible,3
Nine Zero Hotel - a Kimpton Hotel,Excellent,"1,489"
Nine Zero Hotel - a Kimpton Hotel,Very good,586
Nine Zero Hotel - a Kimpton Hotel,Average,126
Nine Zero Hotel - a Kimpton Hotel,Poor,32
Nine Zero Hotel - a Kimpton Hotel,Terrible,26
Hilton Garden Inn Boston Logan Airport,Excellent,469
Hilton Garden Inn Boston Logan Airport,Very good,119
Hilton Garden Inn Boston Logan Airport,Average,23
Hilton Garden Inn Boston Logan Airport,Poor,8
Hilton Garden Inn Boston Logan Airport,Terrible,2
The Verb Hotel,Excellent,911
The Verb Hotel,Very good,316
The Verb Hotel,Average,73
The Verb Hotel,Poor,20
The Verb Hotel,Terrible,14
The Godfrey Hotel Boston,Excellent,946
The Godfrey Hotel Boston,Very good,304
